date,burnt out,mental breakdown,can't focus,cannot focus,overwhelmed,lose my mind,losing my mindpanic attacks,feel like a failure,am a failure,cried,losing motivation,hate my major,why am i even doing this?,college has been horrible,depressed,hate myself,i'm cooked,am cooked,need to lock in,can't lock in,cannot lock in,overthinking,stressed,worried,disappointed in myself,feeling overwhelmed,withdraw,am panicking,aimlessness,wasted all my potential,wasted my time,so exhausted,feel exhausted,am exhausted,failing classes,barely passing,not going to graduate,wont graduate,won't graduatekilling me,falling behindbehind in school,behind in my classes,behind in all my classes,struggling to keep up,too many assignments,dropped out,can't pass,retaking a class,low grades,how am i going to survive,college lies,flunking,struggling with math,hate math,hard class,don't understand,screw over,screwed over,i'm screwed,nothing is clicking,don't get it,difficult exam,placed in wrong class,debt,struggle to learn,failed a class,behind on all my work,behind on my work,behind on work,in debt,no advisor helped me,bad advising,school won’t let me,can’t afford,financial hold,withdrew from,academic probation,took a gap semester,course recovery,transfer schools,going back to school,i feel dumb,i'm not smart enough,wish i could redo it,hopeless,no hope,sm anxiety,worrying about,have anxiety
2025-08-27,13,3,1,1,38,0,0,7,1,11,0,0,0,0,34,2,0,0,0,0,0,20,38,108,3,3,11,0,0,0,3,1,4,3,0,0,0,0,0,0,0,0,1,0,20,0,1,0,0,0,0,1,0,2,14,0,1,0,0,2,0,0,40,0,1,0,0,0,7,0,0,0,11,0,1,1,0,0,1,13,0,0,0,10,3,0,7,2
2025-08-28,12,2,1,1,34,0,0,5,1,10,0,0,0,0,36,2,1,0,0,0,0,19,44,102,4,2,14,0,0,0,3,3,4,3,0,0,0,0,0,0,0,0,1,0,21,0,1,0,0,0,0,1,0,1,13,0,1,0,0,2,0,0,42,0,1,0,0,0,6,0,0,0,10,0,1,0,0,0,1,12,0,0,0,12,2,0,7,2
2025-08-29,11,2,1,0,35,1,0,4,1,8,0,0,0,0,35,1,1,0,0,0,0,19,42,100,3,2,15,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,1,0,0,12,0,1,0,0,2,0,0,40,0,1,0,0,0,5,0,0,0,9,0,1,0,0,0,2,12,0,0,0,15,2,0,8,1
2025-08-30,14,3,1,0,36,1,0,4,1,10,0,0,0,0,32,0,1,0,0,0,0,18,42,102,3,3,15,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,16,0,1,1,0,0,0,1,0,0,8,0,1,0,0,1,0,0,39,0,1,0,0,0,5,0,0,0,11,0,1,0,0,0,3,12,0,0,0,15,2,0,5,2
2025-08-31,13,3,2,0,41,1,0,5,1,16,0,0,0,0,33,0,1,0,0,0,0,20,47,100,3,3,14,1,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,1,0,0,13,0,1,0,0,1,0,0,38,0,1,0,0,0,5,0,0,0,10,0,1,0,0,0,3,12,0,0,0,14,2,0,5,2
2025-09-01,11,4,1,0,35,1,0,5,0,15,0,0,0,0,37,1,1,0,1,0,0,20,45,102,3,2,14,2,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,1,0,0,12,0,1,1,0,1,0,0,39,0,1,0,0,0,5,0,0,0,12,0,1,0,0,0,4,11,0,0,0,18,1,0,6,2
2025-09-02,11,4,1,0,34,1,0,8,1,15,0,0,0,0,36,1,1,0,2,0,0,17,45,101,2,2,14,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,1,0,0,11,0,1,1,0,1,0,0,41,0,1,0,0,0,6,0,0,0,9,0,1,0,0,0,3,8,0,0,0,15,1,0,5,3
2025-09-03,10,2,1,0,25,3,0,5,1,15,0,1,0,0,33,2,3,0,3,0,0,12,38,89,1,2,13,2,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,16,0,0,1,0,0,0,1,0,0,9,0,1,1,0,1,0,0,34,0,0,0,0,0,6,0,0,0,11,0,2,0,0,0,4,8,0,0,0,14,2,0,4,2
2025-09-04,9,2,1,0,28,4,0,5,1,17,0,1,0,0,31,2,2,0,3,0,0,15,36,94,0,2,10,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,16,1,0,1,0,0,0,1,0,0,9,0,2,1,0,2,0,0,36,0,0,0,0,0,8,0,0,0,13,0,2,1,0,0,4,9,0,0,0,14,3,0,5,3
2025-09-05,10,2,1,0,31,4,0,5,1,17,0,1,0,0,30,2,2,0,3,0,0,18,40,93,0,2,11,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,15,1,0,1,0,0,0,0,0,1,10,0,2,1,1,2,0,0,36,0,0,0,0,0,7,0,0,0,12,0,2,2,0,0,3,7,0,0,0,12,2,0,3,3
2025-09-06,8,1,1,0,27,5,0,5,1,17,0,2,0,0,32,2,2,0,3,0,0,24,48,97,0,1,10,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,1,1,15,0,1,1,1,2,0,0,37,0,0,0,0,0,7,0,0,0,9,0,2,2,0,0,3,9,0,0,0,14,2,0,4,2
2025-09-07,8,1,0,0,24,5,0,4,1,14,0,2,1,0,32,2,2,0,4,0,0,25,46,105,1,1,11,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,1,1,11,0,1,1,1,3,0,0,43,0,0,0,0,0,7,0,0,0,10,0,2,3,0,0,4,9,0,0,0,16,2,0,5,2
2025-09-08,8,1,0,0,23,5,0,4,1,15,0,2,1,0,31,3,2,0,3,0,0,27,49,102,1,1,14,0,0,0,0,3,2,2,0,0,0,0,0,0,1,0,1,0,14,1,0,0,0,0,1,0,1,2,13,0,1,0,1,3,0,0,43,0,0,0,0,0,7,0,0,0,8,0,2,3,0,0,3,8,0,0,0,11,2,0,4,2
2025-09-09,11,1,0,0,18,5,0,2,2,14,0,2,1,0,32,3,4,0,2,0,0,27,53,105,1,2,18,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,1,0,11,1,0,0,0,0,1,0,1,2,14,0,1,0,1,2,0,0,47,0,0,0,0,0,8,0,0,0,9,0,3,3,0,0,3,9,0,0,0,16,3,0,4,1
2025-09-10,11,1,0,2,20,4,0,3,2,13,0,1,1,0,30,3,3,0,1,0,0,29,53,101,1,2,17,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,11,1,1,0,0,0,1,0,1,2,18,0,1,0,1,2,0,0,53,0,2,0,0,0,9,0,0,0,8,0,1,3,0,0,2,9,0,0,0,17,2,0,6,1
2025-09-11,10,1,0,3,22,3,0,4,2,13,0,1,1,0,28,4,3,0,1,0,0,25,50,93,1,4,17,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1,0,0,10,0,1,1,0,0,1,0,1,2,21,0,0,0,1,1,0,0,49,0,3,0,0,0,8,0,0,0,10,0,1,2,0,0,2,8,0,0,0,17,1,0,4,0
2025-09-12,11,2,1,3,21,3,0,3,2,13,0,1,1,0,23,4,3,0,1,0,0,25,50,95,1,4,17,0,0,0,1,2,2,1,0,0,0,0,0,0,1,1,0,0,9,0,1,1,0,0,1,1,1,2,20,0,0,0,0,1,0,0,52,0,3,0,0,0,9,0,0,0,10,0,1,1,0,0,2,6,1,0,0,15,1,0,6,1
2025-09-13,12,4,1,3,23,3,0,4,2,12,0,0,1,0,23,4,4,0,1,0,0,21,46,88,1,4,18,1,0,0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,7,0,1,1,0,0,1,1,0,2,15,0,0,0,0,1,0,0,47,0,3,0,0,0,7,0,0,0,10,0,1,1,0,0,1,4,1,0,0,14,1,0,5,3
2025-09-14,13,4,1,4,23,3,0,4,2,9,0,1,0,0,23,4,4,0,0,0,0,18,49,81,0,4,19,1,0,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,9,0,1,1,0,0,1,1,0,3,15,0,0,0,0,1,0,0,39,0,3,0,0,0,7,0,0,0,11,0,1,0,0,0,0,5,2,0,0,12,1,0,6,3
